tag,language_score,valid_response_score,Items
conflicting_non_warrant_cues,0.6042222222222222,0.46,750
material_target_mismatch,0.5728228228228228,0.42342342342342343,444
operator_target_mismatch,0.5644796380090498,0.41855203619909503,442
audience_target_mismatch,0.5697887970615243,0.426078971533517,363
audience_target_match,0.6019108280254777,0.4320594479830149,157
new300_vendor_procurement_logistics,0.6288888888888889,0.5422222222222223,150
active_surface,0.5,0.48717948717948717,39
policy_pointer,0.5811965811965812,0.5,39
structured_output_field_policy,0.8518518518518519,0.6064814814814815,36
operator_target_match,0.9,0.6833333333333333,20
material_target_match,0.6388888888888888,0.5277777777777778,18
