run_id,model_name,slice_type,slice_value,n_items,LWA,VRS,TC,FMT,FLP,metrics_freeze_status,score_origin,paper_use
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,ar,186,0.645161,0.38172,0.994624,0.645161,0.887097,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,de,180,0.616667,0.45,1.0,0.705556,0.922222,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,en,193,0.896373,0.564767,0.927461,0.689119,0.989637,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,es,192,0.739583,0.526042,0.984375,0.671875,0.911458,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,fr,181,0.701657,0.508287,0.98895,0.712707,0.933702,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,ja,188,0.680851,0.446809,0.914894,0.723404,0.909574,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,ko,189,0.62963,0.359788,0.984127,0.62963,0.862434,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_response_language,zh,191,0.602094,0.340314,0.874346,0.691099,0.895288,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,level,L0,90,0.944444,0.7,0.922222,0.833333,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,level,L1,270,0.433333,0.377778,0.955556,0.855556,0.981481,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,level,L2,390,0.702564,0.615385,0.964103,0.846154,0.994872,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,level,L3,390,0.74359,0.628205,0.94359,0.861538,0.992308,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,level,L4,360,0.747222,0.058333,0.977778,0.147222,0.669444,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,group_role,base,500,0.696,0.458,0.972,0.682,0.918,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,group_role,distractor_change,500,0.69,0.454,0.962,0.686,0.916,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,group_role,warrant_change,500,0.684,0.43,0.94,0.682,0.908,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,active_outbound_surface,351,0.746439,0.641026,0.945869,0.880342,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,answer_channel_rule->launch_accessibility_locale,9,0.222222,0.111111,1.0,0.666667,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,case_docket_outbound.locale,6,1.0,0.5,0.833333,0.5,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,contact_profile.response_locale,9,0.222222,0.111111,1.0,0.666667,0.777778,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,correspondence_policy->contact_notice_locale,9,0.555556,0.444444,1.0,0.666667,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,customer_response_locale,243,0.452675,0.403292,0.962963,0.876543,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,explicit_user_instruction,90,0.944444,0.7,0.922222,0.833333,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,handoff_policy->owner_team_locale,9,0.333333,0.333333,1.0,0.666667,0.777778,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,localized_cell_values_locale,6,0.166667,0.166667,1.0,0.5,0.166667,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,mixed_output_visible_text_locale,6,0.5,0.0,1.0,0.5,0.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,notice_policy->contractual_notice_locale,6,0.166667,0.166667,1.0,1.0,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,policy_selected_contact_locale,351,0.74359,0.65812,0.960114,0.863248,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,portal_session_41A.locale,9,0.777778,0.555556,1.0,0.666667,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,prior_recipient_thread.locale,9,0.666667,0.444444,0.777778,0.666667,0.666667,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,public_external_fields_locale,9,0.222222,0.222222,1.0,1.0,0.222222,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,recipient_visible_message_locale,6,0.833333,0.666667,1.0,0.666667,0.833333,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,release_lane_public.locale,9,0.555556,0.555556,1.0,1.0,1.0,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,target_language_source,schema_visible_locale_policy,324,0.783951,0.04321,0.975309,0.08642,0.716049,FINAL_METRICS_FREEZE_APPROVED,v0.2k_B_audit_guided_scorer_repair,all_runs_or_slice
